 City_ID ,City,Cloudiness,Country,Current Description,Humidity,Lat,Lon,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,mataura,87,NZ,overcast clouds,75,-46.19,168.86,47.1,0.0,0.0,1.12
1,aksu,69,CN,broken clouds,28,41.12,80.26,71.76,0.0,0.0,3.29
2,ushuaia,75,AR,shower rain,86,-54.8,-68.3,37.4,0.0,0.0,4.7
3,albany,100,US,overcast clouds,70,42.6,-73.97,81.0,0.0,0.0,5.5
4,puerto ayora,83,EC,broken clouds,92,-0.74,-90.35,71.01,0.0,0.0,5.01
5,colon,100,PA,light rain,88,9.36,-79.9,77.0,0.35,0.35,3.0
6,lavrentiya,0,RU,clear sky,40,65.58,-171.0,55.54,0.0,0.0,14.92
7,bluff,95,NZ,overcast clouds,80,-46.6,168.33,47.48,0.0,0.0,6.8
8,port alfred,0,ZA,clear sky,39,-33.59,26.89,64.99,0.0,0.0,10.0
9,fukue,75,JP,broken clouds,83,32.69,128.84,71.6,0.0,0.0,11.41
10,dzerzhinsk,20,RU,few clouds,88,56.24,43.46,66.0,0.0,0.0,6.71
11,hilo,90,US,overcast clouds,58,19.73,-155.09,82.4,0.0,0.0,5.82
12,rawson,0,AR,clear sky,48,-43.3,-65.1,50.13,0.0,0.0,19.01
13,arraial do cabo,100,BR,overcast clouds,88,-22.97,-42.03,69.8,0.0,0.0,6.93
14,chokwe,0,MZ,clear sky,96,-24.53,32.98,58.57,0.0,0.0,5.86
15,chaykovskaya,56,RU,broken clouds,71,58.13,55.54,55.4,0.0,0.0,13.42
16,hermanus,45,ZA,scattered clouds,91,-34.42,19.23,54.0,0.0,0.0,10.98
17,hastings,100,GB,overcast clouds,93,50.86,0.57,59.0,0.0,0.0,11.41
18,yellowknife,20,CA,few clouds,23,62.46,-114.35,75.2,0.0,0.0,16.11
19,atuona,85,PF,overcast clouds,76,-9.8,-139.03,80.49,0.0,0.0,13.22
20,busselton,0,AU,clear sky,72,-33.65,115.33,45.0,0.0,0.0,10.94
21,klyuchevskiy,93,RU,overcast clouds,71,53.53,119.45,56.82,0.0,0.0,5.35
22,port elizabeth,0,ZA,clear sky,39,-33.92,25.57,62.6,0.0,0.0,8.05
23,broome,1,US,clear sky,73,42.25,-75.83,71.01,0.0,0.0,4.43
24,abu dhabi,0,AE,clear sky,84,24.47,54.37,86.0,0.0,0.0,3.36
25,nalbari,75,IN,mist,100,26.45,91.44,82.4,0.0,0.0,0.6
26,pacifica,90,US,overcast clouds,87,37.61,-122.49,71.01,0.0,0.0,9.17
27,norman wells,75,CA,broken clouds,26,65.28,-126.83,84.2,0.0,0.0,4.7
28,hobart,40,AU,scattered clouds,87,-42.88,147.33,50.0,0.0,0.0,5.82
29,kisangani,95,CD,overcast clouds,72,0.52,25.2,68.32,0.0,0.0,1.61
30,butembo,27,CD,scattered clouds,100,0.15,29.28,55.33,0.0,0.0,2.48
31,buchanan,100,LR,overcast clouds,84,5.88,-10.05,77.49,0.0,0.0,5.95
32,cabo san lucas,5,MX,clear sky,20,22.89,-109.91,93.2,0.0,0.0,6.93
33,new norfolk,93,AU,overcast clouds,78,-42.78,147.06,51.01,0.0,0.0,2.73
34,burgeo,4,CA,clear sky,91,47.62,-57.62,54.93,0.0,0.0,13.47
35,nacogdoches,20,US,few clouds,46,31.6,-94.63,89.6,0.0,0.0,8.05
36,victoria,6,HK,clear sky,66,22.29,114.16,88.0,0.0,0.0,5.99
37,bengkulu,7,ID,clear sky,80,-3.8,102.27,77.7,0.0,0.0,2.44
38,hasaki,20,JP,few clouds,78,35.73,140.83,80.01,0.0,0.0,3.36
39,ribeira grande,100,PT,overcast clouds,89,38.52,-28.7,64.98,0.0,0.0,17.54
40,olivenza,0,ES,clear sky,64,38.68,-7.1,63.0,0.0,0.0,2.39
41,noginsk,40,RU,thunderstorm with light rain,93,55.87,38.44,72.0,0.0,0.0,8.95
42,saint-philippe,75,RE,broken clouds,68,-21.36,55.77,69.8,0.0,0.0,20.8
43,rikitea,100,PF,overcast clouds,81,-23.12,-134.97,75.22,0.0,0.0,20.33
44,mar del plata,0,AR,clear sky,93,-38.0,-57.56,55.0,0.0,0.0,5.82
45,birjand,0,IR,clear sky,18,32.87,59.22,68.0,0.0,0.0,4.7
46,chokurdakh,0,RU,clear sky,17,70.63,147.92,90.46,0.0,0.0,12.06
47,lompoc,93,US,overcast clouds,68,34.64,-120.46,66.99,0.0,0.0,12.75
48,avarua,77,CK,broken clouds,57,-21.21,-159.78,75.2,0.0,0.0,11.41
49,carnarvon,0,AU,clear sky,76,-24.87,113.63,57.2,0.0,0.0,2.24
50,uvalde,44,US,scattered clouds,55,29.37,-99.77,87.8,0.0,0.0,13.87
51,lagoa,92,PT,overcast clouds,90,39.05,-27.98,64.74,0.0,0.0,22.64
52,puerto del rosario,9,ES,clear sky,73,28.5,-13.86,71.6,0.0,0.0,20.8
53,okhotsk,55,RU,broken clouds,79,59.38,143.3,52.61,0.0,0.0,8.16
54,birobidzhan,23,RU,few clouds,70,48.8,132.95,63.99,0.0,0.0,3.78
55,praia,20,CV,few clouds,73,14.92,-23.51,75.2,0.0,0.0,12.75
56,castro,46,BR,scattered clouds,94,-24.79,-50.01,58.08,0.0,0.0,4.88
57,soyo,1,AO,clear sky,91,-6.13,12.37,72.23,0.0,0.0,2.8
58,clyde river,20,CA,few clouds,70,70.47,-68.59,33.8,0.0,0.0,16.11
59,faanui,67,PF,broken clouds,74,-16.48,-151.75,80.28,0.0,0.0,2.15
60,aban,54,RU,broken clouds,81,56.67,96.06,61.21,0.0,0.0,6.42
61,menzelinsk,0,RU,clear sky,76,55.73,53.1,51.8,0.0,0.0,8.95
62,dikson,0,RU,clear sky,87,73.51,80.55,35.29,0.0,0.0,0.96
63,luanda,75,AO,broken clouds,94,-8.84,13.23,73.4,0.0,0.0,1.12
64,bouake,40,CI,scattered clouds,94,7.69,-5.02,75.2,0.0,0.0,4.7
65,thompson,75,CA,broken clouds,87,55.74,-97.86,48.2,0.0,0.0,10.29
66,qaanaaq,99,GL,overcast clouds,81,77.48,-69.36,35.47,0.0,0.0,2.48
67,east london,0,ZA,clear sky,32,-33.02,27.91,66.43,0.0,0.0,8.14
68,powell river,90,CA,light rain,82,49.85,-124.54,64.4,0.0,0.0,4.7
69,chuy,99,UY,light rain,92,-33.7,-53.46,55.31,0.13,0.13,8.28
70,airai,82,TL,broken clouds,89,-8.93,125.41,66.15,0.0,0.0,5.66
71,carman,1,CA,clear sky,30,49.5,-98.0,71.6,0.0,0.0,8.05
72,matay,0,EG,clear sky,72,28.42,30.78,67.77,0.0,0.0,8.37
73,totma,91,RU,overcast clouds,86,59.97,42.76,49.19,0.0,0.0,9.33
74,upernavik,34,GL,scattered clouds,75,72.79,-56.15,38.75,0.0,0.0,8.63
75,georgetown,20,MY,light rain,94,5.41,100.34,78.8,0.0,0.0,2.24
76,chapais,1,CA,clear sky,28,49.78,-74.85,86.0,0.0,0.0,9.17
77,amarante,4,BR,clear sky,62,-6.24,-42.85,76.17,0.0,0.0,4.09
78,khatanga,96,RU,overcast clouds,61,71.97,102.5,55.81,0.0,0.0,9.53
79,kabinda,3,CD,clear sky,56,-6.13,24.48,67.64,0.0,0.0,4.29
80,aranda de duero,0,ES,clear sky,51,41.67,-3.69,57.11,0.0,0.0,1.32
81,tezu,88,IN,light rain,73,27.92,96.17,80.01,0.19,0.19,1.54
82,padang,100,ID,overcast clouds,69,-0.95,100.35,81.37,0.0,0.0,2.89
83,morondava,6,MG,clear sky,63,-20.28,44.28,67.77,0.0,0.0,6.62
84,karratha,0,AU,clear sky,31,-20.74,116.85,75.0,0.0,0.0,17.98
85,punta arenas,100,CL,overcast clouds,93,-53.15,-70.92,35.6,0.0,0.0,14.99
86,carutapera,86,BR,light rain,93,-1.2,-46.02,75.16,0.42,0.42,5.79
87,staryy nadym,97,RU,overcast clouds,59,65.61,72.68,46.45,0.0,0.0,10.85
88,pisco,0,PE,clear sky,88,-13.7,-76.22,64.0,0.0,0.0,13.87
89,katsuura,21,JP,few clouds,71,35.13,140.3,80.01,0.0,0.0,4.0
90,fortuna,90,US,overcast clouds,93,40.6,-124.16,57.99,0.0,0.0,9.17
91,koson,0,UZ,clear sky,42,39.04,65.58,66.2,0.0,0.0,2.24
92,olean,90,US,overcast clouds,77,42.08,-78.43,68.0,0.0,0.0,4.7
93,tuktoyaktuk,90,CA,overcast clouds,70,69.45,-133.04,48.2,0.0,0.0,12.75
94,santa cruz de tenerife,75,ES,broken clouds,82,28.47,-16.25,66.0,0.0,0.0,2.24
95,ulagan,0,RU,clear sky,56,50.63,87.96,58.42,0.0,0.0,1.16
96,zhigansk,0,RU,clear sky,37,66.77,123.37,74.21,0.0,0.0,5.32
97,vestmannaeyjar,100,IS,light rain,89,63.44,-20.27,49.91,0.57,0.57,12.46
98,tiksi,0,RU,clear sky,36,71.69,128.87,66.51,0.0,0.0,6.76
99,nalut,0,LY,clear sky,13,30.33,10.85,85.44,0.0,0.0,16.53
100,cayenne,75,GF,broken clouds,100,4.93,-52.33,78.8,0.0,0.0,8.23
101,cherskiy,2,RU,clear sky,26,68.75,161.3,81.23,0.0,0.0,6.11
102,espinosa,0,BR,clear sky,78,-14.93,-42.82,67.64,0.0,0.0,5.77
103,ilek,0,RU,clear sky,60,51.53,53.38,56.17,0.0,0.0,8.03
104,vaini,75,TO,broken clouds,78,-21.2,-175.2,75.2,0.0,0.0,13.87
105,cape town,75,ZA,broken clouds,87,-33.93,18.42,62.01,0.0,0.0,4.7
106,kolvereid,73,NO,broken clouds,67,64.87,11.6,61.9,0.0,0.0,7.74
107,macapa,14,BR,light rain,88,0.04,-51.07,82.4,0.91,0.91,5.82
108,klaksvik,99,FO,overcast clouds,87,62.23,-6.59,51.8,0.0,0.0,23.04
109,lobito,0,AO,clear sky,58,-12.35,13.55,71.49,0.0,0.0,3.31
110,palmer,40,US,scattered clouds,57,42.16,-72.33,78.8,0.0,0.0,9.17
111,lagos,100,NG,light rain,91,6.58,3.75,76.01,0.56,0.56,5.32
112,jinchang,100,CN,overcast clouds,26,38.5,102.17,81.34,0.0,0.0,3.24
113,yermakovskoye,16,RU,few clouds,75,53.28,92.4,60.89,0.0,0.0,3.74
114,sekoma,0,BW,clear sky,68,-24.4,23.88,44.69,0.0,0.0,5.5
